心理学,惩罚,5.58,
心理学,认知,7.48,
行星,星,8.45,
行星,星座,8.06,
行星,月亮,8.08,
行星,太阳,8.02,
行星,星系,8.11,
行星,空间,7.92,
行星,宇航员,7.94,
先例,例子,5.85,
先例,信息,3.85,
先例,认知,2.81,
先例,法律,6.65,
先例,收藏,2.5,
先例,小组,1.77,
先例,先前,6.04,
杯子,咖啡,6.58,
杯子,餐具,6.85,
杯子,文章,2.4,
杯子,人工,2.92,
杯子,物体,3.69,
杯子,实体,2.15,
杯子,喝,7.25,
杯子,食物,5,
杯子,物质,1.92,
杯子,液体,5.9,
老虎,猫,7.42,
老虎,汽车,7.27,
能量,秘书,1.81,
秘书,参议院,5.06,
能量,实验室,5.09,
电脑,实验室,6.78,
武器,秘密,6.06,
联邦调查局,指纹,6.94,
联邦调查局,侦查,8.31,
调查,努力,4.59,
火星,水,2.94,
火星,科学家,5.63,
新闻,报道,8.16,
峡谷,风景,7.53,
图像,表面,4.56,
探索,空间,6.34,
水,渗透,6.56,
标志,休会,2.38,
星期三,新闻,2.22,
英里,公里,8.66,
电脑,新闻,4.47,
领土,表面,5.34,
大气,风景,3.69,
总统,奖章,3,
战争,军队,8.13,
记录,数字,6.31,
皮肤,眼睛,6.22,
日本人,美国人,6.5,
电影院,历史,3.91,
志愿者,座右铭,2.56,
偏见,承认,3,
勋章,勇士,5.63,
世纪,年,7.59,
世纪,国,3.16,
延迟,种族主义,1.19,
延迟,新闻,3.31,
部长,政党,6.63,
和平,计划,4.75,
少数民族,和平,3.69,
尝试,和平,4.25,
政府,危机,6.56,
部署,离开,4.25,
部署,取款,5.88,
能量,危机,5.94,
通告,新闻,7.56,
通告,努力,2.75,
中风,医院,7.03,
残疾,死亡,5.47,
受害者,紧急状态,6.47,
治疗,痊愈,7.91,
杂志,关联,4.97,
医生,人事部,5,
医生,债务,5.19,
债务,保险,7.03,
学校,中心,3.44,
原因,高血压,2.31,
原因,标准,5.91,
百,百分之,7.38,
哈佛,耶鲁,8.13,
医院,基本建设,4.63,
死亡,争吵,5.25,
死亡,囚犯,5.03,
律师,证据,6.69,
生活,死亡,7.88,
生活,期限,4.5,
词,相似,4.75,
委员会,推荐,4.47,
总裁,面试,3.25,
石油输出国组织,国家,5.63,
和平,氛围,3.69,
和平,保险,2.94,
领土,公里,5.28,
旅游,活动,5,
竞争,价格,6.44,
消费者,自信,4.13,
消费者,能量,4.75,
问题,机场,2.38,
汽车,航班,4.94,
信用卡,卡片,8.06,
信用卡,信息,5.31,
宾馆,预订,8.03,
杂货店,钱,5.94,
注册,安排,6,
安排,住宿,5.41,
月份,宾馆,1.81,
类型,种类,8.97,
到达,宾馆,6,
床,壁橱,6.72,
壁橱,衣服,8,
情况,结论,4.81,
情况,隔离,3.88,
公平,利益,5.16,
方向,组合,2.25,
街道,地点,6.44,
街道,大道,8.88,
街道,街区,6.88,
街道,孩子,4.94,
清单,临近,2.56,
清单,种类,6.38,
电池,手机,7.81,
生产,远足,1.75,
基准,索引,4.25,
媒体,交易,3.88,
媒体,获得,2.88,
股利,支付,7.63,
股利,计算,6.48,
计算,计算,8.44,
货币,市场,7.5,
石油输出国组织,石油,8.59,
石油,股票,6.34,
通告,生产,3.38,
通告,警告,6,
盈利,警告,3.88,
盈利,亏损,7.63,
美元,日元,7.78,
美元,澳元,9.22,
美元,盈利,7.38,
美元,亏损,6.09,
电脑,软件,8.5,
网络,硬件,8.31,
手机,设备,7.13,
设备,制造者,5.91,
奢侈品,汽车,6.47,
5,月份,3.38,
报告,增加,3.63,
投资者,赚取,7.13,
液体,水,7.89,
棒球,季节,5.97,
游戏,胜利,7.03,
游戏,团队,7.69,
马拉松,短跑,7.47,
游戏,系列,6.19,
游戏,战胜,6.97,
7,系列,3.56,
海鲜,海滨,7.47,
海鲜,食物,8.34,
海鲜,虾,8.7,
虾,食物,7.81,
虾,葡萄酒,5.7,
食物,准备,6.22,
录像,档案,6.34,
开始,年,4.06,
开始,比赛,4.47,
游戏,回合,5.97,
拳击,回合,7.61,
冠军,锦标赛,8.36,
战斗,战胜,7.41,
线,保险,2.69,
日,夏天,3.94,
夏天,干旱,7.16,
夏天,自然,5.63,
日,黎明,7.53,
自然,环境,8.31,
环境,生态,8.81,
自然,人,6.25,
男人,女人,8.3,
人,总裁,5.25,
谋杀,过失杀人,8.53,1
肥皂剧,歌剧,7.94,
歌剧,表演,6.88,
生活,教训,5.94,
集中,生活,4.06,
生产,机组人员,6.25,
电视,电影,7.72,
爱人,争吵,6.19,
观察者,连续,2.97,
可能性,女孩,1.94,
人口,发展,3.75,
道德,重要性,3.31,
道德,婚姻,3.69,
墨西哥,巴西,7.44,
性别,平等,6.41,
改变,态度,5.44,
家庭,计划,6.25,
肥皂剧,行业,2.63,
糖,方法,0.88,
实践,制度,3.19,
部门,文化,4.69,
问题,挑战,6.75,
尺寸,突出,5.31,
国家,公民,7.31,
行星,人,5.75,
发展,发行,3.97,
经验,音乐,3.47,
音乐,项目,3.63,
玻璃,金属,5.56,
铝,金属,7.83,
机会,可靠性,3.88,
展览,收藏品,5.31,
音乐会,演奏家,6.81,
摇滚乐,爵士乐,7.59,
博物馆,电影院,7.19,
观察,建筑学,4.38,
空间,世界,6.53,
保留,世界,6.19,
入场券,门票,7.69,
阵雨,雷雨,6.31,
阵雨,洪水,6.03,
天气,预报,8.34,
灾难,区域,6.25,
总裁,办公室,6.34,
建筑学,世纪,3.78,
